,contract,direction,order,symbol
542,"Stock(symbol='ON', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=550, clientId=10, action='BUY', account='DU2280941')",ON
543,"Stock(symbol='ORAN', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=551, clientId=10, permId=666916196, action='BUY', account='DU2280941')",ORAN
544,"Stock(symbol='ORCL', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=552, clientId=10, permId=666916198, action='SELL', account='DU2280941')",ORCL
545,"Stock(symbol='ORI', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=553, clientId=10, permId=666916200, action='SELL', account='DU2280941')",ORI
546,"Stock(symbol='OTEX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=554, clientId=10, action='SELL', account='DU2280941')",OTEX
547,"Stock(symbol='OXY', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=555, clientId=10, permId=666916201, action='BUY', account='DU2280941')",OXY
548,"Stock(symbol='PAA', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=556, clientId=10, permId=666916202, action='BUY', account='DU2280941')",PAA
549,"Stock(symbol='PAC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=557, clientId=10, permId=666916203, action='BUY', account='DU2280941')",PAC
550,"Stock(symbol='PAGS', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=558, clientId=10, permId=666916204, action='BUY', account='DU2280941')",PAGS
551,"Stock(symbol='PANW', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=559, clientId=10, permId=666916205, action='SELL', account='DU2280941')",PANW
552,"Stock(symbol='PAYC', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=560, clientId=10, permId=666916206, action='BUY', account='DU2280941')",PAYC
553,"Stock(symbol='PAYX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=561, clientId=10, action='BUY', account='DU2280941')",PAYX
554,"Stock(symbol='PB', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=562, clientId=10, permId=666916207, action='BUY', account='DU2280941')",PB
555,"Stock(symbol='PBA', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=563, clientId=10, permId=666916208, action='SELL', account='DU2280941')",PBA
556,"Stock(symbol='PBCT', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=564, clientId=10, action='SELL', account='DU2280941')",PBCT
557,"Stock(symbol='PBR', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=565, clientId=10, permId=666916209, action='BUY', account='DU2280941')",PBR
558,"Stock(symbol='PCAR', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=566, clientId=10, action='BUY', account='DU2280941')",PCAR
