,contract,direction,order,symbol
494,"Stock(symbol='MKSI', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=502, clientId=10, permId=1534984868, action='SELL', account='DU2280941')",MKSI
495,"Stock(symbol='MKTX', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=503, clientId=10, permId=1534984869, action='SELL', account='DU2280941')",MKTX
496,"Stock(symbol='MLCO', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=504, clientId=10, permId=1534984871, action='BUY', account='DU2280941')",MLCO
497,"Stock(symbol='MLM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=505, clientId=10, permId=1534984729, action='BUY', account='DU2280941')",MLM
498,"Stock(symbol='MMC', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=506, clientId=10, permId=1534984731, action='SELL', account='DU2280941')",MMC
499,"Stock(symbol='MMM', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=507, clientId=10, permId=1534984732, action='BUY', account='DU2280941')",MMM
500,"Stock(symbol='MMP', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=508, clientId=10, permId=1534984734, action='BUY', account='DU2280941')",MMP
501,"Stock(symbol='MNST', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=509, clientId=10, permId=1534984877, action='BUY', account='DU2280941')",MNST
502,"Stock(symbol='MO', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=510, clientId=10, permId=1534984736, action='BUY', account='DU2280941')",MO
503,"Stock(symbol='MOH', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=511, clientId=10, permId=1534984737, action='SELL', account='DU2280941')",MOH
504,"Stock(symbol='MOMO', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",SELL,"MarketOrder(orderId=512, clientId=10, permId=1534984882, action='SELL', account='DU2280941')",MOMO
505,"Stock(symbol='MORN', exchange='SMART', primaryExchange='NASDAQ', currency='USD')",BUY,"MarketOrder(orderId=513, clientId=10, permId=1534984883, action='BUY', account='DU2280941')",MORN
506,"Stock(symbol='MOS', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=514, clientId=10, permId=1534984738, action='SELL', account='DU2280941')",MOS
507,"Stock(symbol='MPC', exchange='SMART', primaryExchange='NYSE', currency='USD')",SELL,"MarketOrder(orderId=515, clientId=10, permId=1534984739, action='SELL', account='DU2280941')",MPC
508,"Stock(symbol='MPLX', exchange='SMART', primaryExchange='NYSE', currency='USD')",BUY,"MarketOrder(orderId=516, clientId=10, permId=1534984740, action='BUY', account='DU2280941')",MPLX
