,high,last,low,symbol,volume
177,60.09,59.81,57.69,EVRG,11230.0
178,85.38,85.17,82.29,ES,8079.0
179,216.52,215.58,205.66,RE,1464.0
180,,38.27,,EXC,
181,84.6,84.46,78.16,EXPE,20768.0
182,74.25,74.13,71.94,EXPD,4766.0
183,97.46,97.28,94.03,EXR,3571.0
184,47.53,47.4,44.75,XOM,163640.0
185,140.91,140.82,136.35,FFIV,2121.0
186,232.46,231.82,224.8,FB,97685.0
187,40.6,40.51,39.15,FAST,30126.0
188,90.85,90.85,85.63,FRT,3187.0
189,134.37,134.22,127.29,FDX,8729.0
190,138.2,138.01,133.72,FIS,13179.0
191,21.4,21.33,19.59,FITB,64304.0
192,40.5,40.48,38.87,FE,21104.0
193,106.24,105.89,102.86,FRC,9587.0
194,100.36,100.23,97.6,FISV,23786.0
195,259.1,258.83,248.37,FLT,2965.0
196,41.94,41.79,39.64,FLIR,9710.0
197,28.37,28.33,26.22,FLS,8815.0
198,98.65,98.55,93.52,FMC,4143.0
199,,6.53,,F,
200,136.78,136.4,126.88,FTNT,13101.0
201,64.44,64.35,61.19,FTV,6392.0
202,,60.38,,FBHS,
203,29.45,29.44,27.11,FOXA,26960.0
204,29.05,29.05,26.86,FOX,7181.0
205,22.66,22.48,21.01,BEN,27495.0
206,10.5,10.48,9.78,FCX,123684.0
207,10.64,10.62,9.63,GPS,71201.0
208,93.96,93.82,90.6,GRMN,4392.0
209,120.5,120.16,114.36,IT,3528.0
210,153.64,153.64,144.52,GD,7233.0
211,7.32,7.31,6.85,GE,642343.0
212,60.31,60.28,59.04,GIS,20651.0
213,28.01,27.99,26.57,GM,97359.0
214,86.49,86.39,82.06,GPC,5215.0
215,74.24,74.2,72.41,GILD,39643.0
216,77.07,77.04,72.82,GL,2489.0
217,180.74,180.39,172.7,GPN,8827.0
218,205.58,205.28,195.15,GS,20415.0
219,304.4,303.36,294.8,GWW,2544.0
220,17.9,17.86,16.95,HRB,20875.0
221,13.21,13.17,11.71,HAL,143284.0
222,11.76,11.69,11.03,HBI,66018.0
223,25.26,25.15,23.6,HOG,40680.0
224,40.99,40.87,37.85,HIG,14698.0
225,76.0,75.87,71.5,HAS,3995.0
226,104.11,103.82,97.08,HCA,9529.0
227,28.08,28.04,26.38,PEAK,25920.0
228,58.64,58.52,54.88,HSIC,7845.0
229,129.5,129.3,126.0,HSY,5679.0
230,49.79,49.61,46.26,HES,14144.0
231,10.27,10.24,9.84,HPE,90738.0
232,78.42,78.16,73.85,HLT,21661.0
233,31.47,31.36,29.55,HFC,9239.0
234,52.07,52.02,49.19,HOLX,10623.0
235,242.04,241.33,234.31,HD,36708.0
236,146.96,146.47,139.7,HON,17988.0
237,46.83,46.8,45.93,HRL,10019.0
238,12.65,12.59,11.9,HST,73041.0
239,14.63,14.5,13.08,HWM,18480.0
240,16.97,16.89,15.67,HPQ,78779.0
241,378.91,378.44,366.06,HUM,3158.0
242,10.15,10.06,9.39,HBAN,75531.0
243,182.72,182.28,177.29,HII,2272.0
244,153.57,153.22,148.45,IEX,1628.0
245,308.91,308.37,294.17,IDXX,2180.0
246,70.41,70.2,68.03,INFO,9052.0
247,166.22,165.56,160.34,ITW,8551.0
248,348.42,348.42,335.19,ILMN,2983.0
249,93.95,93.51,90.47,INCY,6937.0
250,31.13,31.0,29.59,IR,21710.0
251,59.93,59.79,58.58,INTC,143792.0
252,93.48,93.39,90.76,ICE,9207.0
253,121.87,121.62,118.29,IBM,30484.0
254,35.3,35.17,33.39,IP,18744.0
255,17.8,17.7,16.49,IPG,27560.0
256,127.54,127.1,123.66,IFF,3550.0
257,283.74,283.39,274.19,INTU,4733.0
258,569.21,568.71,544.87,ISRG,2951.0
259,10.86,10.81,9.79,IVZ,55479.0
260,159.97,159.75,151.42,IPGP,1028.0
261,140.18,139.55,135.19,IQV,5859.0
262,28.24,28.16,26.83,IRM,14575.0
263,173.56,173.25,168.68,JKHY,1960.0
264,82.23,82.03,78.47,J,4492.0
265,116.1,115.61,110.29,JBHT,2599.0
266,106.26,106.12,103.02,SJM,9164.0
267,142.04,141.77,139.39,JNJ,45135.0
268,35.42,35.24,33.23,JCI,41002.0
269,100.85,100.55,95.87,JPM,124775.0
270,23.68,23.65,23.08,JNPR,15590.0
271,149.02,148.31,140.01,KSU,4444.0
272,65.17,65.08,62.72,K,14578.0
273,13.43,13.32,12.38,KEY,90167.0
274,98.64,98.43,93.91,KEYS,8726.0
275,,139.01,,KMB,
276,13.8,13.64,12.51,KIM,41733.0
277,15.88,15.82,14.84,KMI,83683.0
278,187.56,186.66,176.58,KLAC,6870.0
279,23.05,22.86,21.14,KSS,72224.0
280,31.88,31.83,30.99,KHC,25576.0
281,32.66,32.03,31.52,KR,64709.0
282,15.84,15.67,14.41,LB,39818.0
